Review,Rating
"Everything was perfect! Quite, cozy place to relax.",positive
Very friendly host and perfect breakfast!,positive
"It was just what we wanted for a week by the beach in winter,

Location was fab, apartment quiet and very well-equipped. Spotless clean.",positive
My stay in the house was a experiencing bliss in luxury. The house is sheer touch of beauty wrapped by luxury and complimented with kindness and care  from Lisbette & her parents making it a most remarkable stay.,positive
"The building itself has a very musty smell in the hallway (despite being built in 1988), but the apartment itself smells good, which makes it bearable. 
When showering, the hot water goes off every 2-3 minutes for about 20-30 seconds and then only cold water comes out. The hot water then comes back again. This should be checked out. That is the only thing we didn’t like about the apartment. ,

The view was great, the apartment furnished in a modern style and equipped with everything you may need. The apartment was clean. 
There is free, secure parking outside in the building’s parking lot or downstairs in the garage. 
Jan always responded promptly to all messages sent via Booking.com messenger.",positive
"Nothing,

Beautiful home! Great room, most comfortable bed! The hostess couldn’t do enough for you.  Very gracious and welcoming, even gave my husband a lift to his conference.  Thank you for your generous hospitality.  Would stay here again.",positive
"to many messages sending from the owner in the app. But it is only my filling.,

everything great! perfect location, perfect room, very clean, everything what you need inside, but the best of the best is the bath :)",positive
"Spacious, more than enough rooms, a lot of bath rooms. For electric car drivers, free charging at the Lidl in Givet, only 10 kms, 50 KW.",positive
"nothing -- place was perfect,

This is an excellent place to stay and I highly recommend staying there. The stay is extremely helpful. One of the best places I have stayed -- it is that good.",positive
Romantic room just around the corner from the train station.  Nice and different setting from most rooms with cute details. Excellent internet connection and Netflix available.,positive
"Nothing,

Everything- great to have a whole property for less than the price of a hotel",positive
"Would have like more coffee and some tea available in the room,

Bath a bit high to get out of, otherwise good comfortable room",positive
"Room is a bit dull. Some wall decorations or a plant would make the room more enjoyable.,

Unlike most B&B's it has an equiped kitchen.",positive
The breakfast should be better for that hotel level.,positive
"The B&B is located just next to Place Jourdan, so there are various options for dinner in the evening. The family is super nice and helpful and the breakfast is prepared in advance so everything is super COVID-safe!",positive
"Nothing,

The peacefulness, the spectacular decor, the kindness of the hosts, nothing was to much trouble",positive
"Nothing!,

Perfect! Near the central station and another facilities",positive
"Nothing :-),

Lovely area, lovely house, lovely hosts, a very rural area. Dinant 13 miles (20 km) to the North East is beautiful, a must see, drive along the river from Givet (6 miles (10 km) to the South East) to have the best experience.Thank you so much for your warm welcome and lovely stay. We would all love to visit again.",positive
"The stains on the floor in the room because of other customers ... .,

Everything",positive
"nothing,

Breakfast was super and more then enough. Super friendly host and very flexible. The B&B also had a very good parkinglot, easily accesible.",positive
"The rooms seemed a little dated. ,

The location was perfect. The staff was helpful. I recommend parking at the Parking Vrijdamarkt. It was clean and reasonably priced. It fit our minivan as well. Just a 3 minute walk from the hotel.",positive
"there are no negative things 😊,

i like this very much!",positive
"Nothing to dislike. ,

From the first moment we arrived we felt completely welcomed. The calm gardens, the duck pond, the trees, all added to the tranquil setting. Beautiful clean property, extremely comfortable bed, elegant decor. Tea and coffee, plus room fridge and snacks available. Wonderful breakfasts, almond croissants to die for! Owners could not do enough and we will definitely be returning.",positive
Amazing beautiful place! I would definitely recommend this place:),positive
"Excellent breakfastVery professional staff, ready to help to get your preferred room if you already went at this hotel.",positive
"Private parking area, pretty much brand new building, modern but cozy and warm, tastefully decorated, very friendly owner.",positive
"The matrasses where to soft for me, but that's person related.,

Kind staff, good location to explore the city.",positive
"Nothing ,

Lovely welcome. Really clean and real attention to detail with the lovely breakfast. Thank you!",positive
"We especially liked our extra large suite, the luxurious and very fresh bedlinen and soft towels. Breakfast was outstanding: orangejuice, coffee, fresh fruit, all kinds of bread and rolls... We were especially surprised by the kind character and hospitality of Liesbeth.",positive
"Nothing to say,

Very close to the gare. A nice romatic getaway",positive
Staff ap friendly and Helpful. Thank you,positive
"The room setup was a bit strange with a double door, the separation of bathroom and room not ideal and some equipment not of great style.,

Great bed, a lot of space in the room and bathroom, free parking right on premises, snack bar 24/7 and free water in the room. The breakfast area is very pretty especially when the weather permits the terrace space and the breakfast itself is very good. Above all the staff was very friendly.",positive
Excellent breakfast,positive
"It was new, cozy, and the owner was a nice person.  The breakfast was amazing. Very good value!",positive
It needs to be more clean. But it is in an excellent location and the staff was very friendly!!!,negative
"Very small table - not really appropriate for work.,

Very friendly host. Very quiet over night.",positive
"A great private atmosphere, good facilities and the experience of nature and city perfectly united.",positive
"Broken shower and TV.,

The room was satisfactory apart from the bathroom. The hotel has also a nice restaurant which was probably the only place in town to eat in the evening. The staff was very friendly.",positive
"Very good location
cosy and spacious appartment
Very kind hostess",positive
"People are nice.
Wonderful room and cleanness.
Really easy to find!",positive
"Windows opened onto a deep light-well so little daylight. It took a very long time to draw hot water.,

Room comfortable and well equipped. Hotel was quiet (possibly for external reasons) and close to city attractions.",positive
"It was too dark in the room, old wooden floors.,

Small but cute room with a bathroom with whirlpool. Very nice and polite staff!",positive
"The WiFi is very bad :(,

It was very clean",positive
"Bed fabulous but very uncomfortable ( difficult to get in and out, very uncomfortable for sleeping ( you roll in the middle of it, too soft, it feels like a waterbed) Very nice linnen sheets, but a bit smelly for not being dried properly. Shower difficult to use. A modern one with a lot of gadgets, but really not necessary. When getting in, you get a bunch of cold water on your head plus cold water on your body from the sides. Feel horrible. The shower head almost useless ( just a bit of water comes out of it). When arrived and during the breakfast next they the host was calling, so we could hardly talk to each other and ask what we needed in a normal way. She could  pay more attention to her quests. Missed a Tv but for one night ok.,

Location, beautiful room",positive
"Noise from the lift during the night. Bright flashing red lights from the smoke detector. Heavy quilt, too hot.,

The swimming pool and sauna in the basement were a great place to relax! Very good breakfast with a wide choice. Helpful staff.",positive
Lovely B&B with excel.lent owner. All was very tidy and clean.,positive
"Good location, nice staff, clean, good price. Also pet friendly, so this is also a plus.",positive
"A bit away from metro station,

Enough space, clean and friendly service",positive
"The Villa Pura Vida was lovely, super clean with most comfortable bed I have ever slept on! and OMG love they pillows!!!:))) bathroom with shower and bad very clean. Stylish and design look...  Breakfast was great! Thumbs up for Liesbeth !!",positive
"La Louviere not a pretty place.  Entry to car park very narrow, through building.,

Good Italian restaurant in the hotel.  Good level parking.",positive
"The bathroom can only be reached through the bedroom.,

It's in the heart of the city, fantastic location!",positive
"Door system didn't work at first, but Johan fixed it very quickly and we didn't have any problems after that.,

Lovely place, very clean and great facilities. Electric lock system meant we were free to arrive later in the evening.",positive
"Very clean and warm chalet. Friendly hosts willing to help and provide everything that is needed.Burning wood to keep the place warm (although there are more than enough electric heaters) gave the place an awsome atmosphere.",positive
"I loved it, brilliant location, sparkling clean, amazing minimal decor. Very comfy bed, amenities fabulous.",positive
"breakfast did not provide a lot of selection and was located in a dark room without windows;,

large conference hotel close to Brussels Noord station; very tidy and functionally equipped room; free coffee and water at the room; all necessities were available;",positive
"Super nice breakfast, keep it up. 
Thank you.",positive
"In the hot weather, a fan would have been a welcome addition",positive
"Attention to allergies, and experience in dealing with them.",positive
"No real bar and restaurant was closed,

Clean and friendly",positive
"Fantastic hostsVery tastefully furnishedGreat BreakfastPerfect location",positive
"The location cannot be better, in the heart of the city. Great facilities, friendly staff... I only have compliments.",positive
"Nothing,

Family home-like feeling",positive
"Everything was so amazing and clean. You feel like you are in Bali 🌴❤️. 
I cant wait to come back to visit this lovely Bed And Breakfast. 
The host was so kind, lovely and she make the Best breakfast and coffee.",positive
"The airconditioning was too strong. The bedsheets were thin.   ,

The room was big.  Nice shower.",positive
"Doesn't have wifi,

The host was extremely accommodating and the apartment was quiet and comfortable with a good bathroom and a large kitchen area. Durbuy is a lovely town with so much to offer and the property location is fantastic.",positive
"Just everything from the location (city center but still no noise) and accessibility to the host Johan to the room itself. Perfect to stay alone or in couple. I have enjoyed my time here and will definitely come back. 
Tip: tell them the purpose of your stay and they’ll adjust to it and give tips.",positive
"The sleeping couch is in the living room and is a little bit noisy,

The location, the view and the wood interior makes it a beautiful place. Would highly recommend it",positive
"nothing to say,

Very well located, modern and good taste decorated, spacious, all facilities, clean. Good communication with the owner. Very good priced for its quality! Thank you!",positive
"none,

Room, location, breakfast - everything according to prior expectations.",positive
"Vicinity to train stationAttention to detailsStaff",positive
"Nothing,

Large comfortable rooms suited for double occupancy. Bed was very comfortable.
Quiet and serene",positive
The rooms were clean and cozy for a couple... a very good host with delicious breakfast. Was able to visit the nearby places easing car or also by foot.,positive
Alles was tiptop in orde,positive
"I really loved the accommodation. The lady who runs the place is very friendly. The rooms are in an old farm which has been renovated with much taste. The breakfast was very good. Although not far away from a rather busy street, the house is in a quite neighbourhood where you can sleep with an open window and in the morning enjoy the birds singing.",positive
"Taxi service has to be pre-ordered for morning journeys, hotel could make this clear in reception area, so guests are not caught out.,

Great location, right in the middle of historical Gent. Close to tram that goes to business Centre in Gent Zuid.Great breakfast and dinner in the restaurant. Staff are friendly and helpful. Preferred hotel for my business trips in Gent.",positive
"Pleasant welcoming owner, good breakfast.",positive
"Nothing.,

We liked everything - the room, the breakfasts, the hospitality.",positive
"A television with cable channels and not just a terrestrial aerial where the picture was un-watchable. I am sure many business travellers, like me, are keen to catch-up on the news and want to relax watching some entertainment programmes.,

The room was comfortable and clean. The staff on reception were extremely helpful.  I did not get chance to use all the facilities, such as the restaurant and breakfast, but there appeared to be a good atmosphere in the bar.",positive
Location,positive
"On the negative side: The bed was extremely soft and you roll together. The walls are thin, so I could hear other guests and their tv. However, we did book during May holidays so it was probably more expensive than usual.,

On the positive side: the location was very convenient, it is easy to access with a door code, and the owner was clear and communicative.",negative
"It was no problem for us, but it's handy to know that there isn't a separate bedroom. So, the bed is in the living room.,

Excellent location with a lot of privacy. The house is lovely and the view is perfect. Kind host, but only speaks French.",positive
"Needs wine and beer glasses and better hand towels.,

Location was perfect with great transport links. Lovely warm apartment. Spacious for three.",positive
"Unique style, and secret parking made my day",positive
"???,

Everything but especially home-made diner in self-service to be eaten in your room (Covid-19), and nice breakfast à la carte ordered by Internet.",positive
"The wifi is very patchy and prone to disconnects.,

The apartment comprises of a very large room on the top floor of an apartment house, with a bathroom shared with other tenants. It is in close proximity to a metro station as well as the Church of Our Lady of Laeken and the neighbourhood seems rather quiet (although there was some late-night roadworks happening on one of the nights I was staying there). Overall, the apartment offer excellent value and I would not hesitate to recommend it for a short stay.",positive
"This is a very special little cosy place. The breakfast was excellent. We want to thank the host for her kindness and hospitality. We booked it as the start of our hike along the GR571, which is a 20min walk away.",positive
"Hotel advertises they have parking, only when I got to the hotel I was told I had to book and I have to park in public car park 5 minutes away and pay 22 euros per day. It was quiet upsetting when I looked at the booking email and found it at the very bottom of long email I had to pre-book in advance, booked this hotel because it said has parking :(. Also hotel says is 4 stars, sorry but that’s not true, fairly 3 stars. Room needs a refurbishment, clean corridors and lift.,

Croissants was actually very nice, location very good.",negative
"Super friendly and flexible host
Brand new studio, clean and spacious
Huge breakfast!!",positive
"Pillows were not very comfortable. ,

A good hotel in a very central position. Very clean.",positive
"Nothing really as although I did not meet hosts personally we had a good communication channel via email,

Apartment is central close to venue. It is clean and the area is very quiet",positive
"The accommodation was gorgeous, straight out of Pinterest. Great decor, very spacious. Garden was lovely. Box hedges and manicured. The hostess  was gracious, warm and lovely. I would definitely stay there again.",positive
Nice food and excellent wine selection in the restaurant!,positive
very noisy,negative
Very comfortable place and specially the owner is very nice I have 4 days stay..,positive
"Cosy apartment, well connected to the city centre and institutions aerea via public transports.Owner very kind and available for info and clarifications.",positive
"Breakfast, Location, Size of the room.",positive
"The breakfast was good of course but why everything in mini, 1x mini pain au chocolat, 1x mini bun. Would be good to have a normal sized portion for the prize of the breakfast.
Having the mini bar next to my pillow prevented me from falling asleep easily as it gets noisy when it starts up,

Extremely well organised for covid with frozen meals in fridges, microwaves . Really impressive. Loved the jacuzzi bath too !",positive
"No curtains. Poor WiFi. No breakfast,

Comfortable bed",positive
"+location is central and off the beach front
+facilities (pool) and rooms are clean and cosy
+ nice breakfast and staff! Efficient and welcoming",positive
"There were 2 single beds + a sofa cum bed.... I'm just someone who personally prefers a king size bed.,

Probably the best B&B  I've seen; they are actually offering you a service apartment with almost a fully equipped & functional kitchen. The whole property is very tastefully furnished.",positive
"A bit noisy at night outside the window,

Great location and price with parking available and accommodated pet.",positive
